X,Y,x,sqx,xy,te
0,0.1,-577.2,333159.84,-57.720000000000006,21287.865896075033
0.6,36.3,-576.6,332467.56,-20930.579999999998,21245.24097543937
1.2,3069.5,-576,331776,-1768032,21202.660386494434
1.8,2027.5,-575.4000000000001,331085.1600000001,-1166623.5000000002,21160.124129240237
2.4,3157.6,-574.8000000000001,330395.0400000001,-1814988.4800000002,21117.63220367676
3,3157.6,-574.2,329705.6400000001,-1813093.9200000002,21075.18460980401
3.6,0,-573.6,329016.96,0,21032.78134762199
4.2,0,-573,328329,0,20990.4224171307
4.8,0,-572.4000000000001,327641.7600000001,0,20948.107818330147
5.4,0,-571.8000000000001,326955.2400000001,0,20905.837551220313
6,0,-571.2,326269.44000000006,0,20863.611615801205
6.6,0,-570.6,325584.36000000004,0,20821.43001207283
7.2,1183,-570,324900,-674310,20779.29274003518
7.8,3152.5,-569.4000000000001,324216.3600000001,-1795033.5000000002,20737.19979968827
8.4,695.9,-568.8000000000001,323533.44000000006,-395827.92000000004,20695.151191032077
9,131.4,-568.2,322851.24000000005,-74661.48000000001,20653.146914066616
9.6,3149.5,-567.6,322169.76,-1787656.2000000002,20611.186968791884
10.2,2803.6,-567,321489,-1589641.2,20569.271355207882
10.8,1954.7,-566.4000000000001,320808.9600000001,-1107142.0800000003,20527.400073314613
11.4,2016.3,-565.8000000000001,320129.6400000001,-1140822.54,20485.573123112066
12,189.9,-565.2,319451.04000000004,-107331.48000000001,20443.79050460025
12.6,189.9,-564.6,318773.16000000003,-107217.54000000001,20402.05221777916
13.2,0,-564,318096,0,20360.3582626488
13.8,0,-563.4000000000001,317419.5600000001,0,20318.708639209173
14.4,0,-562.8000000000001,316743.8400000001,0,20277.10334746027
15,0,-562.2,316068.84,0,20235.542387402096
15.6,0,-561.6,315394.56,0,20194.02575903465
16.2,0.1,-561,314721,-56.1,20152.553462357933
16.8,0.1,-560.4000000000001,314048.1600000001,-56.04000000000001,20111.12549737195
17.4,1654.2,-559.8000000000001,313376.0400000001,-926021.1600000001,20069.741864076695
18,3151.4,-559.2,312704.6400000001,-1762262.8800000001,20028.402562472165
18.6,448.6,-558.6,312033.96,-250587.96000000002,19987.10759255836
19.2,10.8,-558,311364,-6026.400000000001,19945.856954335286
19.8,10.8,-557.4000000000001,310694.7600000001,-6019.920000000001,19904.65064780295
20.4,3096.7,-556.8000000000001,310026.24000000005,-1724242.56,19863.48867296133
21,3152.2,-556.2,309358.44000000006,-1753253.6400000001,19822.37102981045
21.6,1551.1,-555.6,308691.36000000004,-861791.16,19781.297718350288
22.2,30.4,-555,308025,-16872,19740.26873858086
22.8,3062.6,-554.4000000000001,307359.3600000001,-1697905.4400000002,19699.284090502166
23.4,2648.5,-553.8000000000001,306694.44000000006,-1466739.3000000003,19658.343774114193
24,1532,-553.2,306030.24000000005,-847502.4,19617.44778941695
24.6,2845.8,-552.6,305366.76,-1572589.08,19576.596136410433
25.2,0.7,-552,304704,-386.4,19535.78881509465
25.8,0,-551.4000000000001,304041.9600000001,0,19495.0258254696
26.4,0,-550.8000000000001,303380.6400000001,0,19454.30716753527
27,0,-550.2,302720.04000000004,0,19413.63284129167
